01_Concepts-Data_loading.svg;Dataset to load a single example;#34;OK
01_Concepts-Data_loading.svg;Dataset on disk;#44;OK
01_Concepts-Data_loading.svg;Download;#43;OK
01_Concepts-Data_loading.svg;Get items;#46;OK
01_Concepts-Data_loading.svg;Split;#47;OK
01_Concepts-Data_loading.svg;Dataloader to create batches;#29;OK
01_Concepts-Data_loading.svg;Shuffle;#31;OK
01_Concepts-Data_loading.svg;Getters;#48;OK
01_Concepts-Data_loading.svg;One training example Concepts – Data loading;;OK
01_Concepts-Data_loading.svg;input;;OK
01_Concepts-Data_loading.svg;target (text, image,   boxes, classes);;OK
01_Concepts-Data_loading.svg;Python tuple;;OK
01_Concepts-Data_loading.svg;Python Path;;OK
01_Concepts-Data_loading.svg;Keys to fetch;;OK
01_Concepts-Data_loading.svg;examples;;OK
01_Concepts-Data_loading.svg;Python list of keys;;OK
01_Concepts-Data_loading.svg;[ filename1, filename2, … ];;OK
01_Concepts-Data_loading.svg;Indexes for;;OK
01_Concepts-Data_loading.svg;train / valid ( [0,2,4, …] , [2,3,5, …] );;OK
01_Concepts-Data_loading.svg;Python tuple of lists of indexes;;OK
01_Concepts-Data_loading.svg;fastai Datasets [key] next();;OK
01_Concepts-Data_loading.svg;Load training examples in parallel;;OK
01_Concepts-Data_loading.svg;Convert to numbers and Tensors;;OK
01_Concepts-Data_loading.svg;Collate examples in batches;;OK
01_Concepts-Data_loading.svg;Apply data augmentation;;OK
01_Concepts-Data_loading.svg;Launch multiple worker processes iter ();;OK
01_Concepts-Data_loading.svg;fastai DataLoaders;;OK
01_Concepts-Data_loading.svg;next();;OK
01_Concepts-Data_loading.svg;One batch of examples;;OK
01_Concepts-Data_loading.svg;Python tuple of Tensors of batch size;;OK
01_Concepts-Data_loading.svg;( TensorText , TensorImage , TensorBBox , TensorCategory );;OK
01_Concepts-Data_loading.svg;target;;OK
01_Concepts-Data_loading.svg;TensorImage.shape = batch_size x channels x width x height;;OK
01_Concepts-Data_loading.svg;Ensure all examples are the same size;;OK
01_Concepts-Data_loading.svg;Click elements for details https://www.cognitivefactory.fr;https://www.cognitivefactory.fr;NEW
02_Concepts-Model_training.svg;Model;#62;OK
02_Concepts-Model_training.svg;Loss function;#70;OK
